代號,名稱,市場,收盤價,漲跌幅%,成交張數,振幅%,均價,當沖評分
3580,友威科,上櫃,99.9,-10.0,10645,13.15,108.55,46.13
4916,事欣科,上市,89.9,9.9,36726,11.86,86.19,44.05
5321,美而快,上櫃,32.2,9.9,1012,12.29,30.84,43.04
6174,安碁,上櫃,43.45,10.0,6063,11.27,42.33,42.08
8064,東捷,上櫃,123.5,-9.85,7022,11.31,126.64,42.01
6175,立敦,上櫃,81.5,9.99,8607,11.07,79.6,41.85
2484,希華,上市,44.3,9.93,23421,10.67,43.17,41.48
8121,越峰,上櫃,35.2,10.0,3708,11.09,34.93,41.46
6127,九豪,上櫃,52.1,9.8,26916,10.43,51.11,40.88
1533,車王電,上市,38.0,9.99,2430,10.71,37.54,40.47
2375,凱美,上市,111.5,9.85,12093,10.34,109.03,40.35
3236,千如,上櫃,43.9,8.93,29260,10.79,42.4,40.33
8261,富鼎,上市,149.0,9.96,11264,9.96,145.47,39.72
2388,威盛,上市,81.7,9.96,25435,9.69,79.41,39.61
5328,華容,上櫃,30.9,9.96,17213,9.79,30.38,39.6
6224,聚鼎,上市,79.7,9.93,3739,10.21,77.18,39.6
6155,鈞寶,上市,55.9,9.82,8528,10.02,54.72,39.49
3537,堡達,上櫃,57.8,9.89,5739,9.89,56.57,39.13
3479,安勤,上櫃,110.5,9.95,3201,9.95,108.12,39.03
5314,世紀*,上櫃,67.6,9.92,6291,9.76,65.06,38.96
1582,信錦,上市,107.0,-8.55,36875,10.26,112.59,38.83
2478,大毅,上市,105.5,9.55,9247,9.87,103.21,38.82
5471,松翰,上市,52.3,9.87,6397,9.66,51.81,38.69
3441,聯一光,上櫃,48.15,9.93,9353,9.47,47.26,38.6
5243,乙盛-KY,上市,104.5,-8.73,16940,10.04,107.78,38.25
6532,瑞耘,上櫃,96.8,-9.95,3192,9.49,100.05,38.11
3066,李洲,上櫃,20.75,9.79,1018,9.79,20.37,37.87
8044,網家,上櫃,29.0,8.01,4840,10.61,27.5,37.66
8040,九暘,上櫃,98.7,9.91,6685,9.02,97.23,37.5
2355,敬鵬,上市,59.1,-6.78,91114,10.57,61.27,37.26
6207,雷科,上櫃,80.7,-3.81,35248,12.87,86.01,36.91
5291,邑昇,上櫃,71.7,-6.27,4481,11.5,75.22,36.79
2401,凌陽,上市,26.9,7.82,34827,9.62,26.95,36.42
2464,盟立,上市,124.5,-7.78,26449,9.63,127.98,36.24
6834,天二科技,上市,60.6,9.98,6293,8.35,60.34,36.23
3055,蔚華科,上市,112.0,-9.68,7933,8.47,116.7,36.14
2314,台揚,上市,14.6,9.77,1386,8.65,14.43,35.73
7709,榮田,上櫃,89.0,-3.37,2764,13.25,95.72,35.68
6538,倉和,上櫃,106.5,8.78,1993,9.09,104.27,35.31
5488,松普,上櫃,11.7,9.35,3783,8.41,11.48,35.14
3615,安可,上櫃,42.25,-6.11,18539,10.33,44.02,34.95
6742,澤米,上市,56.1,7.47,11288,9.39,55.75,34.85
6432,今展科,上櫃,52.7,6.04,5021,10.66,53.41,34.82
9136,巨騰-DR,上市,11.0,-5.98,4701,10.68,11.51,34.74
3577,泓格,上櫃,134.0,5.93,2587,10.67,129.33,34.33
3576,聯合再生,上市,17.55,-8.83,52538,7.53,18.01,33.97
3694,海華,上市,71.2,9.88,12437,7.1,69.34,33.93
3535,晶彩科,上市,122.0,-7.58,10339,8.71,127.61,33.61
6234,高僑,上櫃,43.85,-7.59,4852,8.85,44.85,33.51
3221,台嘉碩,上櫃,47.9,5.97,17978,9.62,48.09,33.3
